time,latent_dim,latent
1992-09-15 12:00:00,4,0.12250078
1992-09-15 12:00:00,5,0.44607294
1992-09-15 12:00:00,6,-0.08264845
1992-10-16 00:00:00,0,0.04743799
1992-10-16 00:00:00,1,0.4765143
1992-10-16 00:00:00,2,0.07236542
1992-10-16 00:00:00,3,-0.38772923
1992-10-16 00:00:00,4,0.14916833
1992-10-16 00:00:00,5,0.48006308
1992-10-16 00:00:00,6,0.15722278
1992-11-15 12:00:00,0,-0.12547043
1992-11-15 12:00:00,1,0.35382333
1992-11-15 12:00:00,2,0.075563446
1992-11-15 12:00:00,3,-0.21038944
1992-11-15 12:00:00,4,0.15496129
1992-11-15 12:00:00,5,0.39341217
1992-11-15 12:00:00,6,-0.06391492
1992-12-16 00:00:00,0,0.37954336
1992-12-16 00:00:00,1,0.34844568
1992-12-16 00:00:00,2,0.3674236
1992-12-16 00:00:00,3,-0.66069275
1992-12-16 00:00:00,4,0.09790104
1992-12-16 00:00:00,5,0.3460858
1992-12-16 00:00:00,6,-0.08063508
1993-01-16 00:00:00,0,0.56534135
1993-01-16 00:00:00,1,0.03082781
1993-01-16 00:00:00,2,0.06029761
1993-01-16 00:00:00,3,-0.6470701
1993-01-16 00:00:00,4,0.048019737
1993-01-16 00:00:00,5,0.54533374
1993-01-16 00:00:00,6,0.047477208
1993-02-14 12:00:00,0,0.27869385
1993-02-14 12:00:00,1,0.09177304
1993-02-14 12:00:00,2,-0.15821294
1993-02-14 12:00:00,3,-0.63185257
1993-02-14 12:00:00,4,0.26570815
1993-02-14 12:00:00,5,0.6552788
1993-02-14 12:00:00,6,0.1986483
1993-03-16 00:00:00,0,0.24185035
1993-03-16 00:00:00,1,0.37771946
1993-03-16 00:00:00,2,0.0077564716
1993-03-16 00:00:00,3,-0.48283708
1993-03-16 00:00:00,4,0.108151495
1993-03-16 00:00:00,5,0.64765203
1993-03-16 00:00:00,6,0.25003034
1993-04-15 12:00:00,0,-0.10170554
1993-04-15 12:00:00,1,0.4304597
1993-04-15 12:00:00,2,0.10134168
1993-04-15 12:00:00,3,-0.30635834
1993-04-15 12:00:00,4,0.17895389
1993-04-15 12:00:00,5,0.4051394
1993-04-15 12:00:00,6,-0.022462256
1993-05-16 00:00:00,0,-0.20841429
1993-05-16 00:00:00,1,0.41862172
1993-05-16 00:00:00,2,-0.0076655
1993-05-16 00:00:00,3,-0.5016389
1993-05-16 00:00:00,4,0.3569787
1993-05-16 00:00:00,5,0.5417269
1993-05-16 00:00:00,6,0.02585645
1993-06-15 12:00:00,0,-0.1510907
1993-06-15 12:00:00,1,0.36936748
1993-06-15 12:00:00,2,-0.022441417
1993-06-15 12:00:00,3,-0.3352977
1993-06-15 12:00:00,4,0.17058869
1993-06-15 12:00:00,5,0.7345601
1993-06-15 12:00:00,6,-0.08519873
1993-07-16 00:00:00,0,-0.13427596
1993-07-16 00:00:00,1,0.35345504
1993-07-16 00:00:00,2,0.055965424
1993-07-16 00:00:00,3,-0.16265766
1993-07-16 00:00:00,4,0.12301101
1993-07-16 00:00:00,5,0.40081996
1993-07-16 00:00:00,6,-0.061637454
1993-08-16 00:00:00,0,-0.13347289
1993-08-16 00:00:00,1,0.33983505
